#,Name,FIled by,"Type: Shelter, Food, Medical, LGBT, Mental health",County,Coordinates,Address,Email Address,Phone Number,Hours,Link,
,First Choice Community Health Centers,Jessica,Medical,Harnett,"35.295346, -79.07950189999997","985 Autumn Fern Trail #40, Lillington, NC 27546",corporate@firstchoicechc.org,(919) 499-9422,"Monday-Wednesday, Friday: 8:30am - 5:00pm; Thursday: 11:30am-8pm",firstchoicechc.org,
,Lillington Medical Services,Jessica,Medical,Harnett,"35.402166, -78.81990339999999","716 N. 10th Street, Lillington, NC 27546",,(910) 814-1212,"Monday-Thursday: 7:30AM–4:30PM, Friday: 7:30AM–11:30AM",,
,Edgewater Medical Center,Jessica,Medical,Harnett,"35.4046208, -78.81538999999998","100 S 10th St, Lillington, NC 27546",,(910) 893-4111,"Monday-Friday: 7:30AM–5PM, Saturday: 9AM-5PM, Sunday: 12-5PM",,
,Dunn Medical Services,Jessica,Medical,Harnett,"35.3071781, -78.63256960000001","803 Tilghman Dr #100, Dunn, NC 28334",,(910) 892-1091,"Monday-Thursday: 7:30AM–4:30PM, Friday: 7:30AM–1PM",myharnetthealth.org,
,Harnett Counseling Services,Jessica,"Mental health, counseling",Harnett,"35.414103, -78.80647299999998","1186 N Main St, Lillington, NC 27546",infoharnettcounseling@yahoo.com,(910) 814-0909,,http://www.harnettcounseling.com/,
,"Peace of Mind, Inc.",Jessica,"Mental health, counseling",Harnett,"35.4018222, -78.82868610000003","817 W Front St, Lillington, NC 27546",,(910) 814-2197,"Monday, Friday: 9AM–5PM, Tuesday-Thursday: 9AM–7PM",peace-of-mind-inc.com,
,TriCare Counseling & Consulting,Jessica,"Mental health, counseling",Harnett,"35.3085673, -78.6319234","731 Tilghman Dr, Dunn, NC 28334",,(910) 249-4219,Monday-Friday: 8AM–4:30PM,http://www.tricarecounseling.com/,
,Hope For Life Transitional Housing & Shelter Inc,Jessica,Shelter,Harnett,"35.3150408, -78.61097889999996","603 North McKay AvenueDunn, NC 28334",,(910) 375-9128,Monday-Friday: 8AM–5PM,https://hope-for-life-transitional-housing-shelter-inc.business.site/,
,Haywood Regional Medical Center,Jessica,Medical,Haywood,"35.5259613, -82.94264770000001","262 Leroy George Dr, Clyde, NC 28721",,(828) 456-7311,Open 24/7,https://www.myhaywoodregional.com/,
,Haywood Women's Medical Center,Jessica,"Medical, women's health",Haywood,"35.5266323, -82.94095479999999","35 Facility Dr, Clyde, NC 28721",,(828) 452-5042,"Monday-Thursday: 8:30AM–5PM, Friday: 8:30AM–3PM",haywoodwomenscare.com,
,Blue Ridge Health - Haywood,Jessica,Medical,Haywood,"35.5260471, -82.94986169999999","490 Hospital Dr, Clyde, NC 28721",info@BRCHS.com,(828) 246-6372,"Monday-Thursday: 8AM–5PM, Friday: 8AM–1PM",https://www.brchs.com/,
,Appalachian Community Services,Jessica,"Medical, mental health",Haywood,"35.512316, -82.9899069","1482 Russ Ave, Waynesville, NC 28786",,(828) 452-1395,,acswnc.com,
,Haywood County Psychological,Jessica,"Mental health, counseling",Haywood,"35.4874079, -82.99093549999998","669 S Haywood St, Waynesville, NC 28786",,(828) 456-2997,,,
,Spring Counseling,Jessica,"Mental health, counseling",Haywood,"35.528604, -82.97515099999998","545 N Lakeshore Dr, Lake Junaluska, NC 28745",,(828) 564-1282,Monday-Friday: 8AM–6PM,spring-counseling.com,
,Haywood Pathways Center,Jessica,Shelter,Haywood,"35.4722773, -83.00423089999998",179 Hemlock Street Waynesville NC 28786,,828-246-0332,Mon - Fri: 9:00 - 5:00,https://www.haywoodpathwayscenter.org/,
,"REACH of Haywood County, Inc.",Jessica,Shelter,Haywood,"35.49529080000001, -82.98153030000003","627 N Main St, Waynesville, NC 28786",,(828) 456-7898,"Mon-Thur: 9AM–5PM, Fri: 9AM–4PM",reachofhaywood.org,
,Free Clinics,Jessica,Medical,Henderson,"35.2928648, -82.42825749999997","841 Case St, Hendersonville, NC 28792",,(828) 697-8422,"Monday, Wednesday, Thursday, Friday: 9:00am – 5:00pm, Tuesday: 11:30am – 7:30pm",https://www.thefreeclinics.org/,
,Blue Ridge Health - Chimney Rock Road,Jessica,Medical,Henderson,"35.3497867, -82.43117849999999","2579 Chimney Rock Rd, Hendersonville, NC 28792",,(828) 692-4289,"Mon-Thur: 8AM–8PM, Fri: 8AM–5PM",brchs.com,
,"Mountain Counseling Associates, LLC",Jessica,"Mental health, counseling",Henderson,"35.3157681, -82.4535692","110 Williams St, Hendersonville, NC 28792",,(828) 692-7300,Mon-Thur: 9AM–5PM,mountaincounseling.com,
,Highland Medical Associates ,Jessica,Medical,Henderson,"35.3348889, -82.44849069999998","165 Coolridge St, Hendersonville, NC 28792",,(828) 694-3939,Mon-Fri: 8AM–5PM,,
,Vista Family Health,Jessica,Medical,Henderson,"35.4446797, -82.50793569999996","2695 Hendersonville Rd #204, Arden, NC 28704",,(828) 687-8647,Mon-Fri: 7:30AM–5PM,missionhealth.org,
,Full Circle Community Wellness,Jessica,"Mental health, counseling",Henderson,"35.3217165, -82.45904940000003","322 8th Ave E, Hendersonville, NC 28793",,(828) 222-0401,Mon-Fri: 9AM–5PM,fullcirclewnc.org,
,Homes For Youth,Jessica,"Shelter, youth",Henderson,"35.26484800000001, -82.493337","32 Connell Dr, Hendersonville, NC 28739",,(828) 551-0537,,https://www.homesforyouth.org/,
,Roanoke Chowan Community Health Center,Jessica,Medical,Hertford,"36.2975743, -76.9922525","120 Health Center Dr, Ahoskie, NC 27910",,(252) 209-0237,"Mon.: 7:00 am – 7:00 pm (evening clinic), Tues & Wed 7:30 am – 5:00 pm, Thurs.: 7:00 am – 7:00 pm (evening clinic), Fri.: 7:00 am – 4:00 pm, Sat: 8:00 am - 12:00 noon",rcchc.org,
,Vidant Women's Care - Ahoskie,Jessica,"Medical, women's health",Hertford,"36.2829409, -76.99710970000001","700 S Academy St, Ahoskie, NC 27910",,(252) 209-3614,"Mon-Thur: 8AM–5PM, Fri: 8AM–4PM",vidanthealth.com,
,Murfreesboro Primary Care,Jessica,Medical,Hertford,"36.4395525, -77.08848560000001","305 Beachwood Blvd, Murfreesboro, NC 27855",,(252) 398-3323,"Mon-Thur: 7:30AM–5PM, Fri: 7:30AM–4PM",https://www.rcchc.org/,
,Vidant Behavioral Health - Ahoskie,Jessica,"Mental health, counseling",Hertford,"36.2975006, -76.99225919999998","113 B Hertford County High School Rd, Ahoskie, NC 27910",,(252) 209-8161,"Mon-Thur: 8AM–5PM, Fri: 8AM–4PM",,
,Northside Behavioral Health Services,Jessica,"Mental health, counseling",Hertford,"36.296907, -76.99003299999998","111 Hertford County High School Rd, Ahoskie, NC 27910",,(252) 209-3056,,vidanthealth.com,
,Hertford County Social Services,Jessica,"Shelter, social services",Hertford,"36.904410531248715, -78.89376627031248","704 N King St, Winton, NC 27986",,(252) 358-7830,,hertfordcountync.gov,
,Safe Space,Jessica,"Shelter, domestic abuse treatment",Hertford,"36.2966217, -76.98361269999998","123 Loftin Ln S, Ahoskie, NC 27910",,(252) 332-1933,,https://www.roanokechowansafe.com/,
94,Alliance Behavioral Healthcare,Mubeen,Mental health,Johnston,"35.5142699,-78.3365443","521 North Brightleaf Boulevard Smithfield, NC 27577",,(800) 510-9132,24/7,https://www.alliancebhc.org/consumers-families/common-behavioral-illnesses/,
,Toe River Health Disrict,Mubeen,"Mental health, food, shelter",Mitchell,"35.9670373,-82.116058","130 Forest Srv Rd A, Bakersville, NC 28705",mitchellhd@toeriverhealth.org,(828) 688-2371,-,http://www.toeriverhealth.org,
,Bakersville Community Medical Clinic,Nish,Medical,Mitchell,"36.016180, -82.157042","86 North Mitchell Avenue, Bakersville, NC 28705",clinic@bakersville.com,(828)688-2104,Monday-Friday: 8AM–5PM,https://mchp.care/index.html,
,Mitchell County Health Department,Nish,Medical,Mitchell,"35.967137, -82.113853","130 Forest Service Drive Suite A/ Bakersville, NC 28705",lkinnane@trhd.dst.nc.us,(828) 688-2371,Monday-Friday: 8AM–5PM,,
,Blue Ridge Regional Hospital,Nish,Medical,Mitchell,"35.911169, -82.062670","125 Hospital Drive, Spruce Pine, NC 28777",,(877) 777-8230,24 Hour,www.blueridgehospital.org,
,Western Highlands Network,Nish,Mental Health,Mitchell,"35.915800, -82.069306","205 Locust Avenue/ Spruce Pine, NC 28777",,(828)765-9380,Monday-Friday 8AM-5PM,,
,"W.A.M.Y. Community Action, Inc.",Nish,"Food, Health, Shelter",Mitchell,"35.915931, -82.069155","29 Crystal Street/ Spruce Pine, NC 28777",,(828)766-9150,Monday-Friday 8AM-5PM,www.wamycommunityaction.org,
,Mitchell County Department of Social Services,Nish,"Food, Health, Shelter",Mitchell,"36.017063, -82.162420","347 Long View Drive/ Bakersville, NC 28705",,(828) 688-2175,24 Hour,https://www.ncdhhs.gov/divisions/dss,
,Shepherd’s Staff Secondhand Store and Food Pantry,Nish,Food Pantry,Mitchell,"35.907022, -82.071753","695 Summit Avenue Spruce Pine, NC 28777",,(828) 765-2224,"Wednesday, 1:00pm - 4:00pm",https://www.mannafoodbank.org/where-to-get-help/food-finder/,
,Mitchell County WIC Program,Nish,Food Pantry,Mitchell,"35.966974, -82.113856","130 Forest Service Dr. Suite A Bakersville, NC 28705",,828 688-2371,Monday-Friday 8AM-5PM,http://www.toeriverhealth.org/Mitchell.asp,
,Mitchell County SafePlace,Nish,Domestic Violence Shelter,Mitchell,"35.922709, -82.057701",PO Box 544 Spruce Pine NC 28777,,(828) 765-4044,24 hours,https://mitchellcountysafeplace.org/contact,
,Montgomery Baptist Association ,Nish,Clothing,Montgomery,,"217-A N. Main Street, Troy, NC 27371",,910-572-2451,24 hours,http://www.mbanc.com/,
,Second Harvest Food Bank,Nish,Food Pantry,Montgomery,,"105 N Main St, Mt Gilead, NC 27306",,(910) 439-4407,Monday – Friday: 7:30 AM – 5:00 PM,https://www.secondharvestmetrolina.org/about-us,
,Daymark Recovery,Nish,Mental Health,Montgomery,,"227 N Main St A, Troy, NC 27371",helpdesk@daymarkrecovery.org,(910) 572-3681,24/7 ,http://www.daymarkrecovery.org/,
,Montgomery County Department of Social Services,Nish,"Protective Services, Food, Welfare",Montgomery,,"102 Spring Street, Troy, NC 27371",,910-576-6531,8-5pm Monday-Friday,http://www.montgomerycountync.com/,
,Montgomery County Health Department,Nish,Medical,Montgomery,,"217 S Main St, Troy, NC 27371",,(910) 572-1393,8-5pm Monday-Friday,http://www.montgomerycountync.com/,
,Family Crisis Center of Randolph,Nish,"Domestic Abuse, Sexual Assault",Montgomery,,"225 N. Main St. Troy, NC 27371",,910-571-9748,24/7,http://www.randolphfcc.org/email-us,
,Sandhills/Moore Coalition for Human Care,Nish,Food/Clothing,Moore,,"1500 W Indiana Ave, Southern Pines, NC 28387",info@sandhillscoalition.org,910) 693-1600,Monday-Thursday 8-am-11am,https://sandhillscoalition.org/,
,Northern Moore Family Resource Center,NIsh,Food/Clothing,Moore,,"116 S Horner St, Robbins, NC 27325",nmfrc@embarqmail.com,(910) 948-4324,Monday-Friday 8am-5pm,http://moorefamilyresource.org/,
,"Food Bank of Central & Eastern NC, Sandhills Branch",Nish,Foodbank,Moore,,"95 Sandy Avenue Southern Pines, NC 28387",pwerbicki@foodbankcenc.org,(910) 692-5959,"Monday - Friday, 8:00 am to 4:30 pm",http://www.foodbankcenc.org/site/PageNavigator/branch_sandhills.html,
,FirstHealth Of Carolinas,Nish,Medical,Moore,,"
155 Memorial Drive, P.O. Box 3000, Pinehurst, NC 28374",,(910) 878-6000,24/7,https://www.firsthealth.org/join-our-team,
,Bethany House,Nish,Shelter,Moore,,"240 E. Vermont Avenue Southern Pines, NC 28387", bgarrison@nc.rr.com,910-692-9595,24/7,http://www.emmanuel-parish.org/ministry/community-outreach-ministries,
,INTENSIVE OUTPATIENT SERVICES (IOS),Nish,Mental Health,Moore,,"35 Memorial Drive, Pinehurst, NC 28374",,(910) 715-1523,24/7,https://www.firsthealth.org/directory/hospitals-and-service-locations/behavioral-services-intensive-outpatient-services-partial-hospitalization-program,
,Family Promise,Nish,Shelter,Moore,,"400 Saunders Blvd Aberdeen, NC 28315",contactus@fpofmc.org,910 944 7149, Monday- Friday 9:00 AM - 5:30 PM,http://www.cbhallc.com/Provider_Search.aspx,
,My Sister's House,Nish,Domestic Violence Shelter,Nash,,"Rocky Mount, North Carolina",,252-459-3094,5:30-8:30 Monday-Friday,http://www.mshnc.org/,
,Nash UNC Health Care,Nish,Medical,Nash,,"2460 Curtis Ellis Drive Rocky Mount, NC 27804",,(252) 962-8000,24/7,https://www.nashunchealthcare.org/hospitals-locations/locations-profile/?id=35&searchId=72c1366b-37d2-e811-a2cc-001dd8b71cde&sort=11&page=1&pageSize=10,
,Agape Outreach ,Nish,Food Shelter,Nash,,"811 Carver Place, Rocky Mount, NC 27801",,252-977-1684,8-4 pm Monday-Friday,https://www.homelessshelterdirectory.org/cgi-bin/id/countyfb.cgi?county=Nash-County&state=NC,
,Nash County Department of Social Services,Nish,"Social Services, Shelter",Nash,,"120 Washington St Nashville, NC 27856 ount, NC 27804",,252-459-9818,Monday - Friday 8:00 a.m. - 5:00 p.m,https://www.co.nash.nc.us/266/Social-Services,
,Faith Christian Ministries,Nish,"Shelter, Food, Clothing",Nash,,"245 W. Washington Street, Nashville, NC 27856",, (252) 459-7977 , Tues. – Thurs. & Sat. 9am – 2pm ,https://co.nash.nc.us/356/Additional-Resources,
,United Community Ministries,Nish,"Shelter, Food, Clothing",Nash,,"341 Mc Donald St, Rocky Mount, NC 27804",,(252) 977-9768,8am-5pm,http://unitedcommunityministries.org/,
,The HRA Mental Health – The Harbor,Nish,Mental Health,New Hanover,,"2023 South 17th Street Wilmington, NC 28401",,1-877-704-8355,24/7,http://www.rhabehavioralhealth.org/contact/,
,South Eastern Mental Health,Nish,Mental Health,New Hanover,,"2023 South 17th Street Wilmington, NC 28401",,1-866-875-1757,24/7,http://www.deltadbt.com/,
,Domestic Violence Shelter,Nish,Domestic Abuse ,New Hanover,,"2901 Market Street Wilmington, NC 28401",,(910)-343-0703,24/7,https://www.domesticviolence-wilm.org/our-services/,
,Good Shepherd House Day Shelter,Nish,"Food, Clothing, Shelter",New Hanover,,"811 Martin Street Wilmington, NC 28401",info@goodshepherdwilmington.org,(910)-763-4424,00AM-2:00PM Monday-Thursday & 7:00AM-12:00PM Friday,http://www.goodshepherdwilmington.org/,
,Open House,Nish,"Shelter, Clothing, Food",New Hanover,,"615 Shipyard Boulevard Wilmington, NC 28412",,(910)-392-7408,24/7,https://www.coastalhorizons.org/services/crisis_intervention/,
,Salvation Army Night Shelter,Nish,"Shelter, Clothing",New Hanover,,"820 North 2nd Street Wilmington, NC 28401",Donations@salvationarmyusa.org. ,(910)-762-7354,24/7,https://www.salvationarmyusa.org/usn/contact/,
,Wilmington Interfaith Hospitality Network Night Shelter,Nish,"Shelter, Food",New Hanover,,"411 North 4th Street Wilmington, NC 28401",,(910)-762-0339,8:30 am-5:00 pm Monday-Friday,https://www.shelterlistings.org/details/20637/,
,Food Bank of Central & Eastern North Carolina at Wilmington,Nish,Food Bank,New Hanover,,"314 Marstellar Street Wilmington, NC 28401",info@foodbankcenc.org , (910) 251-1465,8:00 am- 5:00 pm,http://www.foodbankcenc.org/site/PageServer?pagename=Branch_Wilmington,
,St. Peter the Fisherman Church,Nish,Food Pantry,New Hanover,,314 South Carolina Avenue Wilmington NC 28401,parish@spfcp.org,(910) 763-6222,Sunday 7:00am – 8:30am,https://www.spfcp.org/contact-us,
,Cape Fear Clinic,Nish,Medical,New Hanover,,"1605 Doctors Circle, Wilmington, NC 28401",,910-343-8736 ,Mon-Fri 8am-5pm,https://www.capefearclinic.org/about-us/overview,
,First Fruit Ministries,Nish,Food Pantry,New Hanover,,"2750 Vance Street.Wilmington, North Carolina.",,(910) 794-9656 ,"Wednesdays, 10 a.m.-2 p.m.
Tuesdays & Saturdays, 11 a.m. – 1 p.m.",https://firstfruitministries.org/programs/outreach/food-pantry/,
,New Hanover County Health Department Clinic,Nish,Medical,New Hanover,,"2029 South 17th Street, Wilmington, NC 28401
",,910-798-6500,24/7,https://health.nhcgov.com/your-health/walk-in-services/,
,CHC Better Care Corporate Health and Wellness,Praj,Medical,Randolph,,"600 W. Salisbury Street, Suite B, Asheboro, NC 27203",,(336) 736-8353,24/7,www.chcbettercare.com,
,Christians United Crisis Ministry of Southern Randolph,Praj,"Food Pantry, Shelter, Lodging",Randolph,,"128 E. Main Street, Seagrove, NC 27341",,(336) 963-1204,24/7,http://www.icarol.info/ResourceView2.aspx?org=82852&agencynum=38395739,
,Christians United Outreach Center (CUOC),Praj,"Food, Financial, Medical",Randolph,,"930 S. Fayetteville Street Asheboro, NC 27203",,(336) 625-1500,"Monday - Thursday 9:00-5:00, Friday 9:00 -2:00",cuoc.org,
,Randolph Counseling Center ,Praj,Mental Health,Randolph,,"505 South Church Street Asheboro, NC 27203",,(336) 625-3888,"Mon - Fri: 8:00 AM - 5:00 PM
",https://randolph-counseling-center.hub.biz,
,Family Crisis Center of Randolph County,Praj,Domestic Abuse,Randolph,,"624-A S. Fayetteville Street, Asheboro, NC 27203",,(336) 629-4159,"Mon - Fri: 8:00 AM - 5:00 PM
",http://www.randolphfcc.org/,
,Church of God of Prophecy ,Praj,Food Bank,Richmond,,"139 Flowers St. Rockingham, North Carolina 28379",,910-895-5975,"evenings weekday, weekends",https://www.homelessshelterdirectory.org/cgi-bin/id/foodbank.cgi?foodbank=5975,
,Mt. Zion UCC/Rockingham,Praj,Food Bank,Richmond,"35.002702, -79.688371","986 Ledbetter Road Rockingham, NC 28379",,910-997-3739,"every other month, 3rd Friday, 4pm",https://www.foodpantries.org/li/mt._zion_uccrockingham_28379,
,Pee Dee pregnancy resource center,Praj,Medical,Richmond,"-21.316338, 165.715489","3603, 202 S Lawrence St, Rockingham, NC 28379",,(910) 997-3040,"Wed-10AM–2PM
Tue,Thu-10AM–5PM",http://pregnantwhatnow.org/,
,Asha B’s Closet,Praj,Mental Health,Richmond,"34.922552, -79.75009","1219 Rockingham Rd #9, Rockingham, NC 28379",,(910) 434-8178,,http://www.ashabscloset.com/,
,Richmond County Health Department,Praj,Medical,Richmond,"34.938856, -79.777768","127 Caroline St, Rockingham, NC 28379",,(910) 997-8300,Monday: 8:00am - 5:00pm,https://www.richmondnc.com/202/Division-of-Public-Health,
,Daymark Recovery Services,Praj,Mental Health and Substance Abuse,Richmond,,"116 Lawrence Street, Rockingham, NC 28379",,910-895-2462,24/7,http://www.daymarkrecovery.org/,
,Compassionate Care Free Clinic,Praj,Medical,Richmond,,"1009 East Washington Street, Rockingham, NC 28379",,910-410-9349,"Monday, Wednesday, and Friday 5:30PM to 8:30PM",http://www.nafcclinics.org/content/compassionate-care-richmond-county,
,Richmond County Department of Social Services,Praj,Affordable Housing,Richmond,"34.939414, -79.777553","125 Caroline Street, Rockingham NC 28380
 ", ,"910-997-8480
",24/7,https://www.ncdhhs.gov/divisions/dss/local-county-social-services-offices,
,New Horizons,Praj,Domestic Abuse,Richmond,"34.928613, -79.758957","801 East Broad Avenue Suite 15. Rockingham, NC 28379",Help@newhorizonsagency.com,910-997-4840,24/7,http://www.newhorizonsagency.com/,
,YVEDDI Family Violence and Sexual Assault,Mubeen,"Domestic Violence, Sexual assault, LGBT",Stokes,,,yadkindv@yveddi.com,(336) 593-9323,24/7,https://www.yveddi.com/domestic-violence-programs/,
,YVEDDI Family Violence and Sexual Assault,Mubeen,"Domestic Violence, Sexual assault, LGBT",Surry,"36.2421994,-80.71177410000001","124 West Kapp St. Dobson, NC 27017",yadkindv@yveddi.com,(336) 356-2014,24/7,https://www.yveddi.com/domestic-violence-programs/,
,Swain Qualla Safe,Mubeen,"Domestic Violece, sexual violence",Swain ,,"2991 Highway 19 S Bryson City, NC 28713",-,828-488-6809,,https://ncadmin.nc.gov/swainqualla-safe-inc,
,Safe Inc of Transylvania,Mubeen,"Domestic Violece, sexual violence",Transylvania,,"515 N Broad St, Brevard, NC 28712",-,828-885-7233,,http://www.safetransylvania.org,
,Inner Banks Hotline,Mubeen,"Domestic Violence, sexual assault",Tyrrell,"35.9190661,-76.245874","507 US Hwy 64E Columbia, NC 27925",spencer@ibxhotline.org,1-877-429-5526,24/7,https://ibxhotline.org,
,Integrated Family Services,Mubeen,"Mental health, Domestic violence",Tyrrell,,"312 B Academy Street, Ahoskie, NC 27910",,,,,
,Food Bank of Albemare,Mubeen,Food,Tyrrell,,883 US 64EColumbia NC 27925,,252-797-4355,4th Tuesday of each month 5:45 pm to 6:45 pm,https://afoodbank.org/get-help/local-food-assistance-programs/,
,Turning Point,Mubeen,"Domestic Violence, sexual assault",Union,"34.9861741,-80.5507701","150 Winchester Ave, Monroe, NC 28110",info@turntoday.net,704-283-7233,24/7,https://turningpointnc.org,
,Daymark Recovery,Mubeen,Mental health,Union,,"1408 East Franklin Street Monroe, NC 28112",-,866.275.9552,24/7,http://www.daymarkrecovery.org/locations/fbc-union,
,Loaves and Fishes of Union County Inc,Mubeen,Food,Union,,"116 South Church Street Monroe, NC 28112",-,704-960-1486,-,http://www.loavesandfishesofunioncounty.org/location,
99,United Way,Mubeen,"Food, shelter",Vance,"36.3229253,-78.410647","715 S Garnett St PO BOX 1352 Henderson, NC 27536",unitedwayofvance@gmail.com,(252) 492-8392,,http://unitedwayvance.org/events,
,"Infinite Possibilities, Inc.",Mubeen,Domestic violence,Vance,,"314 S Garnett St, Henderson, NC 27536",,(252) 425-2492,24/7,http://www.infinitepossibilitiesinc.com,
,Daymark Recovery Services,Mubeen,Mental health,Vance,,"943-H West Andrews Avenue Henderson, NC 27536",-,866.275.9552,24/7,http://www.daymarkrecovery.org/locations/vance-center,
,Cardinal Innovation Healthcare,Mubeen,Mental health,Vance,,"134 S. Garnett St. Henderson, NC 27536",-,1-800-939-5911,24/7,https://www.cardinalinnovations.org/Contact/Offices,
9,InterAct,Mubeen,"Domestic violence, sexual assault",Wake county,"35.796608,-78.659562","1012 Oberlin Road Raleigh, NC 27605",info@interactofwake.org,919-828-7740,24/7,http://interactofwake.org,
89,A Place Called Hope Pantry (H.O.P.E.’S Pantry),Mubeen,Food Pantry,Wake county,"35.7244313,-78.661964","1809 Garner Station BlvdRaleigh, NC 27603",apchchurch@gmail.com,919-662-8019,,https://www.apchchurch.com,
90,ALLIANCE OF AIDS SERVICES CAROLINA,Mubeen,"Healthcare, food",Wake county,"35.8034639,-78.6247887","1637 Old Louisburg Road Raleigh, NC 27604",info@aas-c.org,(919) 834-2437,Mon-Fri 9am 5pm,,
91,Alliance Behavioral Healthcare,Mubeen,Mental health,Wake county,"35.8498945,-78.6159109","5000 Falls of Neuse Road Raleigh, NC 27609",,(800) 510-9132,24/7,https://www.alliancebhc.org/consumers-families/common-behavioral-illnesses/,
95,South Wilmington Street Center,Mubeen,Shelter,Wake county,"35.7622154,-78.642428",1420 S. Wilmington St. Raleigh,,919-857-9428,,http://www.wakegov.com/humanservices/locations/swsc/Pages/default.aspx,
96,Cornerstone Center,Mubeen,"Shelter, mental health",Wake county,"35.7787674,-78.6546206","220 Snow Ave. (Corner of W. Hargett Street & Snow Avenue)Raleigh, NC 27603",,919-508-0777,"Monday, Tuesday, Thursday and Friday: 8:30 a.m.–noon and 1–5 p.m.Wednesday: 1–5 p.m.",http://www.wakegov.com/humanservices/housing/services/Pages/cornerstone.aspx,
97,LGBT Center of Raleigh,Mubeen,LGBT,Wake county,"35.7760467,-78.6476354",324 South Harrington Street - Raleigh NC 27603,,919-231-4525,24/7,https://www.lgbtcenterofraleigh.com/programs/youth-programs.html,
8,"Infinite Possibilities, Inc.",Mubeen,"Domestic Violence, sexual assault",Warren,"36.325807, -78.405238","314 S Garnett St, Henderson, NC 27536",-,252-425-2492,24/7,http://www.infinitepossibilitiesinc.com/cgi-sys/suspendedpage.cgi,** Website does not work
98,United Way,Mubeen,"Food, shelter",Warren,"36.3229253,-78.410647","715 S Garnett St PO BOX 1352 Henderson, NC 27536",unitedwayofvance@gmail.com,(252) 492-8392,,http://unitedwayvance.org/events,
,Warren County Health Department,Mubeen,"Health, Mental heath",Warren,,"544 West Ridgeway Street Warrenton, NC 27589",-,(252) 257 1185,Monday - Friday  8:30AM to 5:00PM,http://warrencountyhd.com,
7,REAL Crisis Intervention,Mubeen,"Sexual assault, suicide, mental health",Washington,"35.603986, -77.367799","1011 Anderson St. Greenville, NC, 27858", realcrisis@embarqmail.com,252-758-4357,24/7,http://realcrisis.org,
,Plymouth Food Pantry,Mubeen,Food pantry,Washington,,"811 Washington St, Plymouth, NC 27962",-,252-312-72612,-,https://www.homelessshelterdirectory.org/cgi-bin/id/cityfoodbanks.cgi?city=Plymouth&state=NC,
,Trillium Health Resources,Mubeen,"Medical, mental health, shelter",Washington,,"201 West First Street, Greenville, NC 27858-1132",,1-877-685-2415,24/7,http://www.trilliumhealthresources.org/regional-connections/central-region,
6,"Opposing Abuse with Service, Information and Shelter",Mubeen,"Domestic Violence, sexual assault",Watauga,"36.198813, -81.653749","225 Birch St. Boone, NC 28607",outreach@oasisinc.org,(828) 262-5035,24/7,http://www.oasisinc.org/resources/,
,Hunger and Health Coalition,Mubeen,Food,Watauga,"36.2145752,-81.6435032","141 Health Center Drive, Suite C Boone, NC 28607",resources@hungerandhealthcoalition.com,(828) 262-1628,"M-F, 8:30a-4:30p",https://www.hungerandhealthcoalition.com,
,Hospitality House,Mubeen,"Food, Shelter",Watauga,"36.2140203,-81.643377","338 Brook Hollow Road, Boone NC 28607 828.264.1237",info@hosphouse.org,(828) 264-1237,,https://www.hosphouse.org/contact,
,Lauren's Youth,Mubeen,LGBTQ,Watauga,,Blowing Rock North Carolina 28605,,1-866-488-7386,,https://www.laurensyouth.org,828-773-7430
5,Wayne Uplift Domestic Violence,Mubeen,"Shelter, sexual assault",Wayne,"35.388940, -78.007530","719 Ash Street, Goldsboro, NC",-,919-736-1313,24/7,https://unitedwayne.galaxydigital.com/agency/detail/?agency_id=8004,
,Community Soup Kitchen Of Goldsboro Inc,Mubeen,Food,Wayne,"35.3872645,-77.9989614","112 W Oak St, Goldsboro, NC 27530",,(919) 731-3939,Tuesday 8AM–1:30PM Wednesday 8AM–1:30PM Thursday 8AM–1:30PM Friday 8AM–1:30PM Saturday   8AM–1:30PMSunday  ClosedMonday 8AM–1:30P,https://www.facebook.com/Community-Soup-Kitchen-of-GoldsboroInc-153035128079267/,
4,"SAFE, Inc. Wilkes County, N.C.",Mubeen,"Shelter, sexual assault",Wilkes,"36.135088, -81.177884","1260 College Ave., Suite 5, Wilkesboro, NC 28697",mgraham@safewilkes.org,336-838-7233,24/7,http://www.safewilkes.org,
,Samaritan Kitchen of Wilkes,Mubeen,Food,Wilkes,"36.1491635,-81.2371856","4187 North Carolina Highway 421, Wilkesboro, North Carolina 28697, United States",,336-838-5331,"Mon9:00 am – 1:00 pm
TueClosed
Wed9:00 am – 1:00 pm
ThuClosed
Fri9:00 am – 1:00 pm
SatClosedSunClosed
",https://skwilkes.org,
,Daymark Recovery Services,Mubeen,Mental health,Wilkes,"36.1549349,-81.1617405","1400 Willow Lane West Park C61-2 North Wilkesboro, NC 28659",,336.667.5151,Mon-Fri 8AM-8PM,,
,Wilkes Community Health Center,Mubeen,Health,Wilkes,"36.1441113,-81.1591346","306 College Street Wilkesboro, NC 28697",,336-651-7450,Monday - Friday 8:30 a.m. - 5 p.m.,https://wilkescounty.net/Directory.aspx?DID=14,
3,Wesley Shelter Inc,Mubeen,"Domestic violence, sexual assault, shelther, LGBT",Wilson,"35.726800,-77.907929 ","106 Vance St E, Wilson, NC 27893",-,(252) 291-2344,24/7,http://www.wesleyshelter.org,
